id,name,UMLS_CUI,def,MESH,is_a,subset,alt_id,OMIM,synonym,is_obsolete,created_by,creation_date
DOID:0001816,['angiosarcoma'],UMLS_CUI:C0854893,['A vascular cancer that derives_from the cells that line the walls of blood vessels or lymphatic vessels.'],MESH:D006394,['DOID:175 ! vascular cancer'],['NCIthesaurus'],"['DOID:267', 'DOID:4508']",,['hemangiosarcoma'],,,
DOID:0002116,['pterygium'],UMLS_CUI:C0033999,['A corneal disease that is characterized by a triangular tissue growth located_in cornea of the eye that is the result of collagen degeneration and fibrovascular proliferation.'],MESH:D011625,['DOID:10124 ! corneal disease'],,,,"[""surfer's eye""]",,['laronhughes'],['2010-06-30T02:44:30Z']
DOID:0014667,['disease of metabolism'],UMLS_CUI:C0025517,['A disease that involving errors in metabolic processes of building or degradation of molecules.'],MESH:D008659,['DOID:4 ! disease'],"['DO_AGR_slim', 'DO_GXD_slim', 'NCIthesaurus']",,,['metabolic disease'],,,
DOID:0040001,['shrimp allergy'],,['A crustacean allergy that has_allergic_trigger shrimp.'],,['DOID:0060524 ! crustacean allergy'],['DO_IEDB_slim'],,,,,,
DOID:0040002,['aspirin allergy'],UMLS_CUI:C0004058,['A drug allergy that has_allergic_trigger acetylsalicylic acid.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,"['acetylsalicylic acid allergy', 'ASA allergy']",,,
DOID:0040003,['benzylpenicillin allergy'],UMLS_CUI:C0571411,['A beta-lactam allergy that has_allergic_trigger benzylpenicillin.'],,['DOID:0060519 ! beta-lactam allergy'],['DO_IEDB_slim'],,,"['benzyl benicillin allergy', 'penicillin G allergy']",,,
DOID:0040004,['amoxicillin allergy'],UMLS_CUI:C0571417,['A beta-lactam allergy that has_allergic_trigger amoxicillin.'],,['DOID:0060519 ! beta-lactam allergy'],['DO_IEDB_slim'],,,,,,
DOID:0040005,['ceftriaxone allergy'],UMLS_CUI:C0571463,['A cephalosporin allergy that has_allergic_trigger ceftriaxone.'],,['DOID:0040021 ! cephalosporin allergy'],['DO_IEDB_slim'],,,['rocephin allergy'],,,
DOID:0040006,['carbamazepine allergy'],UMLS_CUI:C0570787,['A drug allergy that has_allergic_trigger carbamazepine.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,"['carbamazepen allergy', 'Tegretol allergy']",,,
DOID:0040007,['abacavir allergy'],,['A drug allergy that has_allergic_trigger abacavir.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,['ABC allergy'],,,
DOID:0040008,['isoniazide allergy'],,['A drug allergy that has_allergic_trigger isoniazide.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,"['INH allergy', 'isonicotinylhydrazide allergy']",,,
DOID:0040009,['lidocaine allergy'],UMLS_CUI:C0570646,['A drug allergy that has_allergic_trigger lidocaine.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,"['Lidoderm allergy', 'lignocaine allergy', 'xylocaine allergy']",,,
DOID:0040010,['mepivacaine allergy'],,['A drug allergy that has_allergic_trigger mepivacaine.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,"['Carbocaine allergy', 'Polocaine allergy']",,,
DOID:0040011,['phenobarbital allergy'],UMLS_CUI:C0570785,['A drug allergy that has_allergic_trigger phenobarbital.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,"['Luminal allergy', 'phenobarbitol allergy', 'phenobarbitone allergy']",,,
DOID:0040012,['phenytoin allergy'],UMLS_CUI:C0570789,['A drug allergy that has_allergic_trigger phenytoin.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,['Dilantin allergy'],,,
DOID:0040013,['ranitidine allergy'],UMLS_CUI:C0570577,['A drug allergy that has_allergic_trigger ranitidine.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,['Zantac allergy'],,,
DOID:0040014,['corticosteroid allergy'],,['A drug allergy that has_allergic_trigger corticosteroid.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,,,,
DOID:0040015,['sulfonamide allergy'],UMLS_CUI:C0038757,['A drug allergy that has_allergic_trigger sulfonamide.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,,,,
DOID:0040016,['sulfamethoxazole allergy'],,['A drug allergy that has_allergic_trigger sulfamethoxazole.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,"['SMX allergy', 'SMZ allergy', 'sulphamethoxazole allergy']",,,
DOID:0040017,['suprofen allergy'],,['A drug allergy that has_allergic_trigger suprofen.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,['Profenal allergy'],,,
DOID:0040018,['thiopental allergy'],UMLS_CUI:C0570633,['A drug allergy that has_allergic_trigger thiopental.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,"['penthiobarbital allergy', 'pentothiobarbital allergy']",,,
DOID:0040019,['D-mannitol allergy'],UMLS_CUI:C0571922,['A drug allergy that has_allergic_trigger D-mannitol.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,['mannitol allergy'],,,
